line_cd,station_cd1,station_cd2,time
11101,1110119,1110120,120000
11101,1110120,1110121,120000
11101,1110121,1110122,120000
11101,1110122,1110123,120000
11101,1110123,1110124,120000
11101,1110124,1110125,120000
11101,1110125,1110126,120000
11101,1110126,1110127,120000
11101,1110127,1110128,120000
11101,1110128,1110129,120000
11101,1110129,1110130,120000
11101,1110130,1110131,120000
11101,1110131,1110133,120000
11101,1110133,1110134,120000
11101,1110134,1110135,120000
11101,1110135,1110136,120000
11101,1110136,1110137,120000
11101,1110137,1110138,120000
11102,1110201,1110202,120000
11102,1110202,1110203,120000
11102,1110203,1110204,120000
11102,1110204,1110205,120000
11102,1110205,1110206,120000
11102,1110206,1110207,120000
11102,1110207,1110208,120000
11102,1110208,1110209,120000
11102,1110209,1110210,120000
11102,1110210,1110211,120000
11102,1110211,1110212,120000
11102,1110212,1110213,120000
11102,1110213,1110214,120000
11102,1110214,1110215,120000
11102,1110215,1110216,120000
11102,1110216,1110217,120000
11102,1110217,1110218,120000
11102,1110218,1110219,120000
11103,1110301,1110302,120000
11103,1110302,1110303,120000
11103,1110303,1110304,120000
11103,1110304,1110305,120000
11103,1110305,1110306,120000
11103,1110306,1110307,120000
11103,1110307,1110308,120000
11103,1110308,1110309,120000
11103,1110309,1110310,120000
11103,1110310,1110311,120000
11103,1110311,1110312,120000
11103,1110312,1110313,120000
11103,1110313,1110314,120000
11103,1110314,1110315,120000
11103,1110315,1110316,120000
11103,1110316,1110317,120000
11103,1110317,1110318,120000
11103,1110318,1110319,120000
11103,1110319,1110320,120000
11103,1110320,1110321,120000
11103,1110321,1110322,120000
11103,1110322,1110323,120000
11103,1110323,1110324,120000
11103,1110324,1110325,120000
11103,1110325,1110326,120000
11103,1110326,1110327,120000
11103,1110327,1110328,120000
11103,1110328,1110329,120000
11103,1110329,1110330,120000
11103,1110330,1110331,120000
11103,1110331,1110332,120000
11103,1110332,1110333,120000
11103,1110333,1110334,120000
11103,1110334,1110335,120000
11103,1110335,1110336,120000
11103,1110336,1110337,120000
11103,1110337,1110338,120000
11103,1110338,1110339,120000
11103,1110339,1110340,120000
11103,1110340,1110341,120000
11103,1110341,1110342,120000
11104,1110401,1110402,120000
11104,1110402,1110403,120000
11104,1110403,1110404,120000
11104,1110404,1110405,120000
11104,1110405,1110406,120000
11104,1110406,1110407,120000
11104,1110407,1110408,120000
11104,1110408,1110409,120000
11104,1110409,1110410,120000
11104,1110410,1110411,120000
11104,1110411,1110412,120000
11104,1110412,1110413,120000
11104,1110413,1110414,120000
11104,1110414,1110415,120000
11104,1110415,1110420,120000
11104,1110416,1110417,120000
11104,1110417,1110418,120000
11104,1110418,1110419,120000
11104,1110419,1110420,120000
11104,1110420,1110421,120000
11104,1110421,1110422,120000
11104,1110422,1110423,120000
11104,1110423,1110424,120000
11104,1110424,1110425,120000
11104,1110425,1110426,120000
11104,1110426,1110427,120000
11104,1110427,1110428,120000
11104,1110428,1110429,120000
11104,1110429,1110430,120000
11104,1110430,1110431,120000
11104,1110431,1110432,120000
11104,1110432,1110433,120000
11104,1110433,1110434,120000
11105,1110501,1110502,120000
11105,1110502,1110503,120000
11105,1110503,1110504,120000
11105,1110504,1110505,120000
11105,1110505,1110506,120000
11105,1110506,1110507,120000
11105,1110507,1110508,120000
11105,1110508,1110509,120000
11105,1110509,1110510,120000
11105,1110510,1110511,120000
11105,1110511,1110512,120000
11105,1110512,1110513,120000
11105,1110513,1110514,120000
11106,1110601,1110602,120000
11106,1110602,1110603,120000
11106,1110603,1110604,120000
11106,1110604,1110605,120000
11106,1110605,1110606,120000
11106,1110606,1110607,120000
11106,1110607,1110608,120000
11106,1110608,1110609,120000
11106,1110609,1110610,120000
11106,1110610,1110611,120000
11106,1110611,1110612,120000
11106,1110612,1110613,120000
11106,1110613,1110614,120000
11106,1110614,1110615,120000
11106,1110615,1110616,120000
11106,1110616,1110617,120000
11106,1110617,1110618,120000
11107,1110701,1110702,120000
11107,1110702,1110703,120000
11107,1110703,1110704,120000
11107,1110704,1110705,120000
11107,1110705,1110706,120000
11107,1110706,1110707,120000
